Result,U:0,U:1,U:2,SA,p,p_rgh,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2
1.84380e-04,-1.84380e-04,-1.06386e-04,-1.42276e-21,1.90450e+00,-6.68311e-01,-1.01567e+00,1,3.76000e-02,3.00000e-01,3.76000e-02,2.00000e-03
1.80028e-04,-1.80028e-04,-1.03655e-04,-8.27714e-22,1.90349e+00,-6.64616e-01,-1.01568e+00,1,3.80000e-02,3.00000e-01,3.80000e-02,2.00000e-03
1.75606e-04,-1.75606e-04,-1.00771e-04,-7.30778e-22,1.90249e+00,-6.60920e-01,-1.01570e+00,1,3.84000e-02,3.00000e-01,3.84000e-02,2.00000e-03
1.71193e-04,-1.71193e-04,-9.78503e-05,-5.44048e-22,1.90148e+00,-6.57225e-01,-1.01571e+00,1,3.88000e-02,3.00000e-01,3.88000e-02,2.00000e-03
1.66749e-04,-1.66749e-04,-9.48357e-05,-1.97955e-22,1.90048e+00,-6.53529e-01,-1.01573e+00,1,3.92000e-02,3.00000e-01,3.92000e-02,2.00000e-03
1.62274e-04,-1.62274e-04,-9.17296e-05,1.19505e-22,1.89948e+00,-6.49833e-01,-1.01575e+00,1,3.96000e-02,3.00000e-01,3.96000e-02,2.00000e-03
1.57806e-04,-1.57806e-04,-8.85863e-05,3.99553e-22,1.89847e+00,-6.46137e-01,-1.01576e+00,1,4.00000e-02,3.00000e-01,4.00000e-02,2.00000e-03
1.53269e-04,-1.53269e-04,-8.53001e-05,7.22782e-22,1.89747e+00,-6.42441e-01,-1.01578e+00,1,4.04000e-02,3.00000e-01,4.04000e-02,2.00000e-03
1.48739e-04,-1.48739e-04,-8.19787e-05,9.00770e-22,1.89646e+00,-6.38744e-01,-1.01579e+00,1,4.08000e-02,3.00000e-01,4.08000e-02,2.00000e-03
1.44178e-04,-1.44178e-04,-7.85697e-05,8.07434e-22,1.89546e+00,-6.35048e-01,-1.01581e+00,1,4.12000e-02,3.00000e-01,4.12000e-02,2.00000e-03
