x_velocity,y_velocity,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2
-5.58641e-02,-6.35091e-02,1,8.20000e+00,3.00000e+01,8.20000e+00,5.00000e+00
-5.57753e-02,-6.30418e-02,1,8.24000e+00,3.00000e+01,8.24000e+00,5.00000e+00
-5.56865e-02,-6.25745e-02,1,8.28000e+00,3.00000e+01,8.28000e+00,5.00000e+00
-5.55976e-02,-6.21072e-02,1,8.32000e+00,3.00000e+01,8.32000e+00,5.00000e+00
-5.54854e-02,-6.16014e-02,1,8.36000e+00,3.00000e+01,8.36000e+00,5.00000e+00
-5.53572e-02,-6.10691e-02,1,8.40000e+00,3.00000e+01,8.40000e+00,5.00000e+00
-5.52008e-02,-6.05653e-02,1,8.44000e+00,3.00000e+01,8.44000e+00,5.00000e+00
-5.50371e-02,-6.00690e-02,1,8.48000e+00,3.00000e+01,8.48000e+00,5.00000e+00
-5.48733e-02,-5.95727e-02,1,8.52000e+00,3.00000e+01,8.52000e+00,5.00000e+00
-5.47095e-02,-5.90764e-02,1,8.56000e+00,3.00000e+01,8.56000e+00,5.00000e+00
-5.45458e-02,-5.85801e-02,1,8.60000e+00,3.00000e+01,8.60000e+00,5.00000e+00
-5.43820e-02,-5.80837e-02,1,8.64000e+00,3.00000e+01,8.64000e+00,5.00000e+00
-5.42182e-02,-5.75874e-02,1,8.68000e+00,3.00000e+01,8.68000e+00,5.00000e+00
-5.40545e-02,-5.70911e-02,1,8.72000e+00,3.00000e+01,8.72000e+00,5.00000e+00
-5.38907e-02,-5.65948e-02,1,8.76000e+00,3.00000e+01,8.76000e+00,5.00000e+00
-5.37010e-02,-5.60760e-02,1,8.80000e+00,3.00000e+01,8.80000e+00,5.00000e+00
-5.34596e-02,-5.55593e-02,1,8.84000e+00,3.00000e+01,8.84000e+00,5.00000e+00
-5.32099e-02,-5.50511e-02,1,8.88000e+00,3.00000e+01,8.88000e+00,5.00000e+00
-5.29588e-02,-5.45445e-02,1,8.92000e+00,3.00000e+01,8.92000e+00,5.00000e+00
-5.27077e-02,-5.40378e-02,1,8.96000e+00,3.00000e+01,8.96000e+00,5.00000e+00
-5.24566e-02,-5.35311e-02,1,9.00000e+00,3.00000e+01,9.00000e+00,5.00000e+00
-5.22055e-02,-5.30245e-02,1,9.04000e+00,3.00000e+01,9.04000e+00,5.00000e+00
-5.19544e-02,-5.25178e-02,1,9.08000e+00,3.00000e+01,9.08000e+00,5.00000e+00
-5.17033e-02,-5.20111e-02,1,9.12000e+00,3.00000e+01,9.12000e+00,5.00000e+00
-5.14521e-02,-5.15045e-02,1,9.16000e+00,3.00000e+01,9.16000e+00,5.00000e+00
-5.12010e-02,-5.09978e-02,1,9.20000e+00,3.00000e+01,9.20000e+00,5.00000e+00
-5.09021e-02,-5.05071e-02,1,9.24000e+00,3.00000e+01,9.24000e+00,5.00000e+00
-5.05886e-02,-5.00212e-02,1,9.28000e+00,3.00000e+01,9.28000e+00,5.00000e+00
-5.02751e-02,-4.95354e-02,1,9.32000e+00,3.00000e+01,9.32000e+00,5.00000e+00
-4.99607e-02,-4.90369e-02,1,9.36000e+00,3.00000e+01,9.36000e+00,5.00000e+00
-4.96451e-02,-4.85237e-02,1,9.40000e+00,3.00000e+01,9.40000e+00,5.00000e+00
-4.93296e-02,-4.80104e-02,1,9.44000e+00,3.00000e+01,9.44000e+00,5.00000e+00
-4.90140e-02,-4.74971e-02,1,9.48000e+00,3.00000e+01,9.48000e+00,5.00000e+00
-4.86984e-02,-4.69838e-02,1,9.52000e+00,3.00000e+01,9.52000e+00,5.00000e+00
-4.83829e-02,-4.64706e-02,1,9.56000e+00,3.00000e+01,9.56000e+00,5.00000e+00
-4.80575e-02,-4.59629e-02,1,9.60000e+00,3.00000e+01,9.60000e+00,5.00000e+00
-4.76950e-02,-4.54767e-02,1,9.64000e+00,3.00000e+01,9.64000e+00,5.00000e+00
-4.73324e-02,-4.49904e-02,1,9.68000e+00,3.00000e+01,9.68000e+00,5.00000e+00
-4.69698e-02,-4.45042e-02,1,9.72000e+00,3.00000e+01,9.72000e+00,5.00000e+00
-4.66072e-02,-4.40180e-02,1,9.76000e+00,3.00000e+01,9.76000e+00,5.00000e+00
-4.62487e-02,-4.35166e-02,1,9.80000e+00,3.00000e+01,9.80000e+00,5.00000e+00
-4.58922e-02,-4.30075e-02,1,9.84000e+00,3.00000e+01,9.84000e+00,5.00000e+00
-4.55292e-02,-4.25041e-02,1,9.88000e+00,3.00000e+01,9.88000e+00,5.00000e+00
-4.51413e-02,-4.20224e-02,1,9.92000e+00,3.00000e+01,9.92000e+00,5.00000e+00
-4.47535e-02,-4.15406e-02,1,9.96000e+00,3.00000e+01,9.96000e+00,5.00000e+00
-4.43741e-02,-4.10449e-02,1,1.00000e+01,3.00000e+01,1.00000e+01,5.00000e+00
-4.39731e-02,-4.05668e-02,1,1.00400e+01,3.00000e+01,1.00400e+01,5.00000e+00
-4.35720e-02,-4.00886e-02,1,1.00800e+01,3.00000e+01,1.00800e+01,5.00000e+00
-4.31733e-02,-3.96079e-02,1,1.01200e+01,3.00000e+01,1.01200e+01,5.00000e+00
-4.27631e-02,-3.91321e-02,1,1.01600e+01,3.00000e+01,1.01600e+01,5.00000e+00
-4.23463e-02,-3.86615e-02,1,1.02000e+01,3.00000e+01,1.02000e+01,5.00000e+00
-4.19295e-02,-3.81909e-02,1,1.02400e+01,3.00000e+01,1.02400e+01,5.00000e+00
-4.15107e-02,-3.77217e-02,1,1.02800e+01,3.00000e+01,1.02800e+01,5.00000e+00
-4.10863e-02,-3.72563e-02,1,1.03200e+01,3.00000e+01,1.03200e+01,5.00000e+00
-4.06619e-02,-3.67908e-02,1,1.03600e+01,3.00000e+01,1.03600e+01,5.00000e+00
-4.02375e-02,-3.63254e-02,1,1.04000e+01,3.00000e+01,1.04000e+01,5.00000e+00
-3.97949e-02,-3.58769e-02,1,1.04400e+01,3.00000e+01,1.04400e+01,5.00000e+00
-3.93474e-02,-3.54327e-02,1,1.04800e+01,3.00000e+01,1.04800e+01,5.00000e+00
-3.88999e-02,-3.49886e-02,1,1.05200e+01,3.00000e+01,1.05200e+01,5.00000e+00
-3.84524e-02,-3.45445e-02,1,1.05600e+01,3.00000e+01,1.05600e+01,5.00000e+00
