Result,U:0,U:1,U:2,SA,p_rgh,rhok,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2
-3.28137e-04,3.28137e-04,-2.91598e-04,-1.02290e-19,1.16497e+00,1.18685e-05,9.53401e-01,1,3.33200e-01,3.00000e-01,3.33200e-01,2.00000e-03
-3.19641e-04,3.19641e-04,-2.87023e-04,-1.14934e-19,1.16394e+00,1.20575e-05,9.53442e-01,1,3.33600e-01,3.00000e-01,3.33600e-01,2.00000e-03
-3.10822e-04,3.10822e-04,-2.82262e-04,-1.45489e-19,1.16292e+00,1.22492e-05,9.53483e-01,1,3.34000e-01,3.00000e-01,3.34000e-01,2.00000e-03
-3.01908e-04,3.01908e-04,-2.77405e-04,-1.80082e-19,1.16189e+00,1.24419e-05,9.53525e-01,1,3.34400e-01,3.00000e-01,3.34400e-01,2.00000e-03
-2.92550e-04,2.92550e-04,-2.72266e-04,-2.31419e-19,1.16086e+00,1.26385e-05,9.53566e-01,1,3.34800e-01,3.00000e-01,3.34800e-01,2.00000e-03
-2.82512e-04,2.82512e-04,-2.66740e-04,-3.06426e-19,1.15983e+00,1.28407e-05,9.53607e-01,1,3.35200e-01,3.00000e-01,3.35200e-01,2.00000e-03
-2.72388e-04,2.72388e-04,-2.61124e-04,-3.76484e-19,1.15881e+00,1.30438e-05,9.53648e-01,1,3.35600e-01,3.00000e-01,3.35600e-01,2.00000e-03
-2.62179e-04,2.62179e-04,-2.55417e-04,-4.41582e-19,1.15778e+00,1.32479e-05,9.53689e-01,1,3.36000e-01,3.00000e-01,3.36000e-01,2.00000e-03
-2.51295e-04,2.51295e-04,-2.49342e-04,-4.76732e-19,1.15676e+00,1.34564e-05,9.53730e-01,1,3.36400e-01,3.00000e-01,3.36400e-01,2.00000e-03
-2.40325e-04,2.40325e-04,-2.43184e-04,-5.09390e-19,1.15573e+00,1.36658e-05,9.53771e-01,1,3.36800e-01,3.00000e-01,3.36800e-01,2.00000e-03
-2.29267e-04,2.29267e-04,-2.36941e-04,-5.39553e-19,1.15471e+00,1.38762e-05,9.53812e-01,1,3.37200e-01,3.00000e-01,3.37200e-01,2.00000e-03
-2.17777e-04,2.17777e-04,-2.30427e-04,-5.55160e-19,1.15369e+00,1.40894e-05,9.53853e-01,1,3.37600e-01,3.00000e-01,3.37600e-01,2.00000e-03
-2.06027e-04,2.06027e-04,-2.23742e-04,-5.62941e-19,1.15267e+00,1.43044e-05,9.53893e-01,1,3.38000e-01,3.00000e-01,3.38000e-01,2.00000e-03
-1.94188e-04,1.94188e-04,-2.16979e-04,-5.69059e-19,1.15164e+00,1.45204e-05,9.53934e-01,1,3.38400e-01,3.00000e-01,3.38400e-01,2.00000e-03
-1.82114e-04,1.82114e-04,-2.10045e-04,-5.81890e-19,1.15062e+00,1.47380e-05,9.53975e-01,1,3.38800e-01,3.00000e-01,3.38800e-01,2.00000e-03
-1.69656e-04,1.69656e-04,-2.02851e-04,-6.15996e-19,1.14961e+00,1.49579e-05,9.54016e-01,1,3.39200e-01,3.00000e-01,3.39200e-01,2.00000e-03
-1.57110e-04,1.57110e-04,-1.95588e-04,-6.57718e-19,1.14859e+00,1.51787e-05,9.54057e-01,1,3.39600e-01,3.00000e-01,3.39600e-01,2.00000e-03
-1.44475e-04,1.44475e-04,-1.88257e-04,-7.07072e-19,1.14757e+00,1.54004e-05,9.54097e-01,1,3.40000e-01,3.00000e-01,3.40000e-01,2.00000e-03
-1.31248e-04,1.31248e-04,-1.80447e-04,-6.53843e-19,1.14655e+00,1.56257e-05,9.54138e-01,1,3.40400e-01,3.00000e-01,3.40400e-01,2.00000e-03
-1.17877e-04,1.17877e-04,-1.72519e-04,-5.88683e-19,1.14554e+00,1.58524e-05,9.54178e-01,1,3.40800e-01,3.00000e-01,3.40800e-01,2.00000e-03
-1.04433e-04,1.04433e-04,-1.64535e-04,-5.15226e-19,1.14453e+00,1.60799e-05,9.54219e-01,1,3.41200e-01,3.00000e-01,3.41200e-01,2.00000e-03
-9.07314e-05,9.07314e-05,-1.56303e-04,-4.10473e-19,1.14351e+00,1.63083e-05,9.54259e-01,1,3.41600e-01,3.00000e-01,3.41600e-01,2.00000e-03
-7.68645e-05,7.68645e-05,-1.47928e-04,-2.95342e-19,1.14250e+00,1.65376e-05,9.54300e-01,1,3.42000e-01,3.00000e-01,3.42000e-01,2.00000e-03
-6.29231e-05,6.29231e-05,-1.39507e-04,-1.83210e-19,1.14149e+00,1.67675e-05,9.54340e-01,1,3.42400e-01,3.00000e-01,3.42400e-01,2.00000e-03
-4.88480e-05,4.88480e-05,-1.30944e-04,-9.47304e-20,1.14048e+00,1.69979e-05,9.54381e-01,1,3.42800e-01,3.00000e-01,3.42800e-01,2.00000e-03
-3.45774e-05,3.45774e-05,-1.22151e-04,-5.12250e-20,1.13947e+00,1.72286e-05,9.54421e-01,1,3.43200e-01,3.00000e-01,3.43200e-01,2.00000e-03
-2.02328e-05,2.02328e-05,-1.13323e-04,-1.17751e-20,1.13847e+00,1.74600e-05,9.54461e-01,1,3.43600e-01,3.00000e-01,3.43600e-01,2.00000e-03
-5.81402e-06,5.81402e-06,-1.04458e-04,2.36138e-20,1.13746e+00,1.76920e-05,9.54502e-01,1,3.44000e-01,3.00000e-01,3.44000e-01,2.00000e-03
8.76501e-06,-8.76501e-06,-9.52798e-05,4.00856e-20,1.13645e+00,1.79231e-05,9.54542e-01,1,3.44400e-01,3.00000e-01,3.44400e-01,2.00000e-03
2.34161e-05,-2.34161e-05,-8.60772e-05,4.71619e-20,1.13545e+00,1.81548e-05,9.54582e-01,1,3.44800e-01,3.00000e-01,3.44800e-01,2.00000e-03
3.81416e-05,-3.81416e-05,-7.68489e-05,4.48304e-20,1.13445e+00,1.83871e-05,9.54622e-01,1,3.45200e-01,3.00000e-01,3.45200e-01,2.00000e-03
5.29399e-05,-5.29399e-05,-6.74026e-05,2.65638e-20,1.13345e+00,1.86184e-05,9.54662e-01,1,3.45600e-01,3.00000e-01,3.45600e-01,2.00000e-03
6.78761e-05,-6.78761e-05,-5.77201e-05,-4.28433e-22,1.13245e+00,1.88500e-05,9.54702e-01,1,3.46000e-01,3.00000e-01,3.46000e-01,2.00000e-03
8.28654e-05,-8.28654e-05,-4.80291e-05,-3.18213e-20,1.13145e+00,1.90820e-05,9.54742e-01,1,3.46400e-01,3.00000e-01,3.46400e-01,2.00000e-03
9.78761e-05,-9.78761e-05,-3.82392e-05,-7.24779e-20,1.13045e+00,1.93132e-05,9.54782e-01,1,3.46800e-01,3.00000e-01,3.46800e-01,2.00000e-03
1.12872e-04,-1.12872e-04,-2.82700e-05,-1.21669e-19,1.12945e+00,1.95424e-05,9.54822e-01,1,3.47200e-01,3.00000e-01,3.47200e-01,2.00000e-03
