x_velocity,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2
-7.10942e-02,1,7.24000e+00,3.00000e+01,7.24000e+00,0.00000e+00
-7.09067e-02,1,7.28000e+00,3.00000e+01,7.28000e+00,0.00000e+00
-7.07235e-02,1,7.32000e+00,3.00000e+01,7.32000e+00,0.00000e+00
-7.05446e-02,1,7.36000e+00,3.00000e+01,7.36000e+00,0.00000e+00
-7.03701e-02,1,7.40000e+00,3.00000e+01,7.40000e+00,0.00000e+00
-7.02000e-02,1,7.44000e+00,3.00000e+01,7.44000e+00,0.00000e+00
-7.00342e-02,1,7.48000e+00,3.00000e+01,7.48000e+00,0.00000e+00
-6.98728e-02,1,7.52000e+00,3.00000e+01,7.52000e+00,0.00000e+00
-6.97157e-02,1,7.56000e+00,3.00000e+01,7.56000e+00,0.00000e+00
-6.95293e-02,1,7.60000e+00,3.00000e+01,7.60000e+00,0.00000e+00
-6.92180e-02,1,7.64000e+00,3.00000e+01,7.64000e+00,0.00000e+00
-6.89102e-02,1,7.68000e+00,3.00000e+01,7.68000e+00,0.00000e+00
-6.86058e-02,1,7.72000e+00,3.00000e+01,7.72000e+00,0.00000e+00
-6.83048e-02,1,7.76000e+00,3.00000e+01,7.76000e+00,0.00000e+00
-6.80072e-02,1,7.80000e+00,3.00000e+01,7.80000e+00,0.00000e+00
-6.77131e-02,1,7.84000e+00,3.00000e+01,7.84000e+00,0.00000e+00
-6.74042e-02,1,7.88000e+00,3.00000e+01,7.88000e+00,0.00000e+00
-6.70280e-02,1,7.92000e+00,3.00000e+01,7.92000e+00,0.00000e+00
-6.66546e-02,1,7.96000e+00,3.00000e+01,7.96000e+00,0.00000e+00
-6.62841e-02,1,8.00000e+00,3.00000e+01,8.00000e+00,0.00000e+00
-6.58657e-02,1,8.04000e+00,3.00000e+01,8.04000e+00,0.00000e+00
-6.54497e-02,1,8.08000e+00,3.00000e+01,8.08000e+00,0.00000e+00
-6.50362e-02,1,8.12000e+00,3.00000e+01,8.12000e+00,0.00000e+00
-6.45689e-02,1,8.16000e+00,3.00000e+01,8.16000e+00,0.00000e+00
-6.40888e-02,1,8.20000e+00,3.00000e+01,8.20000e+00,0.00000e+00
-6.36104e-02,1,8.24000e+00,3.00000e+01,8.24000e+00,0.00000e+00
-6.31338e-02,1,8.28000e+00,3.00000e+01,8.28000e+00,0.00000e+00
-6.26589e-02,1,8.32000e+00,3.00000e+01,8.32000e+00,0.00000e+00
-6.21857e-02,1,8.36000e+00,3.00000e+01,8.36000e+00,0.00000e+00
-6.17143e-02,1,8.40000e+00,3.00000e+01,8.40000e+00,0.00000e+00
-6.11711e-02,1,8.44000e+00,3.00000e+01,8.44000e+00,0.00000e+00
-6.06094e-02,1,8.48000e+00,3.00000e+01,8.48000e+00,0.00000e+00
-6.00484e-02,1,8.52000e+00,3.00000e+01,8.52000e+00,0.00000e+00
-5.94879e-02,1,8.56000e+00,3.00000e+01,8.56000e+00,0.00000e+00
-5.89282e-02,1,8.60000e+00,3.00000e+01,8.60000e+00,0.00000e+00
-5.83690e-02,1,8.64000e+00,3.00000e+01,8.64000e+00,0.00000e+00
-5.78105e-02,1,8.68000e+00,3.00000e+01,8.68000e+00,0.00000e+00
-5.72527e-02,1,8.72000e+00,3.00000e+01,8.72000e+00,0.00000e+00
-5.66955e-02,1,8.76000e+00,3.00000e+01,8.76000e+00,0.00000e+00
-5.61216e-02,1,8.80000e+00,3.00000e+01,8.80000e+00,0.00000e+00
-5.54903e-02,1,8.84000e+00,3.00000e+01,8.84000e+00,0.00000e+00
-5.48479e-02,1,8.88000e+00,3.00000e+01,8.88000e+00,0.00000e+00
-5.42043e-02,1,8.92000e+00,3.00000e+01,8.92000e+00,0.00000e+00
-5.35614e-02,1,8.96000e+00,3.00000e+01,8.96000e+00,0.00000e+00
-5.29192e-02,1,9.00000e+00,3.00000e+01,9.00000e+00,0.00000e+00
-5.22778e-02,1,9.04000e+00,3.00000e+01,9.04000e+00,0.00000e+00
-5.16371e-02,1,9.08000e+00,3.00000e+01,9.08000e+00,0.00000e+00
-5.09972e-02,1,9.12000e+00,3.00000e+01,9.12000e+00,0.00000e+00
-5.03580e-02,1,9.16000e+00,3.00000e+01,9.16000e+00,0.00000e+00
-4.97195e-02,1,9.20000e+00,3.00000e+01,9.20000e+00,0.00000e+00
-4.90550e-02,1,9.24000e+00,3.00000e+01,9.24000e+00,0.00000e+00
-4.83819e-02,1,9.28000e+00,3.00000e+01,9.28000e+00,0.00000e+00
-4.77084e-02,1,9.32000e+00,3.00000e+01,9.32000e+00,0.00000e+00
-4.70344e-02,1,9.36000e+00,3.00000e+01,9.36000e+00,0.00000e+00
-4.63600e-02,1,9.40000e+00,3.00000e+01,9.40000e+00,0.00000e+00
-4.56850e-02,1,9.44000e+00,3.00000e+01,9.44000e+00,0.00000e+00
-4.50096e-02,1,9.48000e+00,3.00000e+01,9.48000e+00,0.00000e+00
-4.43336e-02,1,9.52000e+00,3.00000e+01,9.52000e+00,0.00000e+00
-4.36572e-02,1,9.56000e+00,3.00000e+01,9.56000e+00,0.00000e+00
-4.29802e-02,1,9.60000e+00,3.00000e+01,9.60000e+00,0.00000e+00
-4.23020e-02,1,9.64000e+00,3.00000e+01,9.64000e+00,0.00000e+00
-4.16224e-02,1,9.68000e+00,3.00000e+01,9.68000e+00,0.00000e+00
-4.09413e-02,1,9.72000e+00,3.00000e+01,9.72000e+00,0.00000e+00
-4.02589e-02,1,9.76000e+00,3.00000e+01,9.76000e+00,0.00000e+00
-3.95751e-02,1,9.80000e+00,3.00000e+01,9.80000e+00,0.00000e+00
-3.88898e-02,1,9.84000e+00,3.00000e+01,9.84000e+00,0.00000e+00
-3.82056e-02,1,9.88000e+00,3.00000e+01,9.88000e+00,0.00000e+00
-3.75289e-02,1,9.92000e+00,3.00000e+01,9.92000e+00,0.00000e+00
-3.68502e-02,1,9.96000e+00,3.00000e+01,9.96000e+00,0.00000e+00
-3.61697e-02,1,1.00000e+01,3.00000e+01,1.00000e+01,0.00000e+00
-3.54992e-02,1,1.00400e+01,3.00000e+01,1.00400e+01,0.00000e+00
-3.48266e-02,1,1.00800e+01,3.00000e+01,1.00800e+01,0.00000e+00
-3.41517e-02,1,1.01200e+01,3.00000e+01,1.01200e+01,0.00000e+00
-3.34955e-02,1,1.01600e+01,3.00000e+01,1.01600e+01,0.00000e+00
-3.28421e-02,1,1.02000e+01,3.00000e+01,1.02000e+01,0.00000e+00
-3.21862e-02,1,1.02400e+01,3.00000e+01,1.02400e+01,0.00000e+00
-3.15289e-02,1,1.02800e+01,3.00000e+01,1.02800e+01,0.00000e+00
-3.08725e-02,1,1.03200e+01,3.00000e+01,1.03200e+01,0.00000e+00
-3.02142e-02,1,1.03600e+01,3.00000e+01,1.03600e+01,0.00000e+00
-2.95540e-02,1,1.04000e+01,3.00000e+01,1.04000e+01,0.00000e+00
-2.89362e-02,1,1.04400e+01,3.00000e+01,1.04400e+01,0.00000e+00
-2.83276e-02,1,1.04800e+01,3.00000e+01,1.04800e+01,0.00000e+00
-2.77164e-02,1,1.05200e+01,3.00000e+01,1.05200e+01,0.00000e+00
-2.71026e-02,1,1.05600e+01,3.00000e+01,1.05600e+01,0.00000e+00
-2.64863e-02,1,1.06000e+01,3.00000e+01,1.06000e+01,0.00000e+00
-2.58674e-02,1,1.06400e+01,3.00000e+01,1.06400e+01,0.00000e+00
-2.52459e-02,1,1.06800e+01,3.00000e+01,1.06800e+01,0.00000e+00
-2.46219e-02,1,1.07200e+01,3.00000e+01,1.07200e+01,0.00000e+00
-2.39953e-02,1,1.07600e+01,3.00000e+01,1.07600e+01,0.00000e+00
-2.33862e-02,1,1.08000e+01,3.00000e+01,1.08000e+01,0.00000e+00
-2.28405e-02,1,1.08400e+01,3.00000e+01,1.08400e+01,0.00000e+00
-2.22918e-02,1,1.08800e+01,3.00000e+01,1.08800e+01,0.00000e+00
-2.17413e-02,1,1.09200e+01,3.00000e+01,1.09200e+01,0.00000e+00
-2.11915e-02,1,1.09600e+01,3.00000e+01,1.09600e+01,0.00000e+00
-2.06390e-02,1,1.10000e+01,3.00000e+01,1.10000e+01,0.00000e+00
-2.00835e-02,1,1.10400e+01,3.00000e+01,1.10400e+01,0.00000e+00
-1.95253e-02,1,1.10800e+01,3.00000e+01,1.10800e+01,0.00000e+00
-1.89642e-02,1,1.11200e+01,3.00000e+01,1.11200e+01,0.00000e+00
-1.84002e-02,1,1.11600e+01,3.00000e+01,1.11600e+01,0.00000e+00
-1.78335e-02,1,1.12000e+01,3.00000e+01,1.12000e+01,0.00000e+00
-1.73409e-02,1,1.12400e+01,3.00000e+01,1.12400e+01,0.00000e+00
-1.68686e-02,1,1.12800e+01,3.00000e+01,1.12800e+01,0.00000e+00
-1.63930e-02,1,1.13200e+01,3.00000e+01,1.13200e+01,0.00000e+00
-1.59144e-02,1,1.13600e+01,3.00000e+01,1.13600e+01,0.00000e+00
-1.54325e-02,1,1.14000e+01,3.00000e+01,1.14000e+01,0.00000e+00
-1.49475e-02,1,1.14400e+01,3.00000e+01,1.14400e+01,0.00000e+00
-1.44593e-02,1,1.14800e+01,3.00000e+01,1.14800e+01,0.00000e+00
-1.39679e-02,1,1.15200e+01,3.00000e+01,1.15200e+01,0.00000e+00
-1.34780e-02,1,1.15600e+01,3.00000e+01,1.15600e+01,0.00000e+00
-1.30092e-02,1,1.16000e+01,3.00000e+01,1.16000e+01,0.00000e+00
-1.26086e-02,1,1.16400e+01,3.00000e+01,1.16400e+01,0.00000e+00
-1.22048e-02,1,1.16800e+01,3.00000e+01,1.16800e+01,0.00000e+00
-1.17979e-02,1,1.17200e+01,3.00000e+01,1.17200e+01,0.00000e+00
-1.13879e-02,1,1.17600e+01,3.00000e+01,1.17600e+01,0.00000e+00
