x,y,z,U_0,U_1,U_2,U_0m
0.3,0.271571906,0.002,9.61510514E-05,-6.67453927E-05,-2.96149415E-19,-9.61510514E-05
0.3,0.272909699,0.002,9.24265609E-05,-6.50745414E-05,-2.25631264E-19,-9.24265609E-05
0.3,0.274247492,0.002,8.87706074E-05,-6.35533623E-05,-8.60604616E-20,-8.87706074E-05
0.3,0.275585284,0.002,8.52943437E-05,-6.2243233E-05,-1.60726929E-20,-8.52943437E-05
0.3,0.276923077,0.002,8.20671672E-05,-6.1164831E-05,1.33970301E-19,-8.20671672E-05
0.3,0.27826087,0.002,7.93319542E-05,-6.05074295E-05,3.06446763E-19,-7.93319542E-05
0.3,0.279598662,0.002,7.71644961E-05,-6.03130929E-05,5.5112072E-19,-7.71644961E-05
0.3,0.280936455,0.002,7.56930467E-05,-6.0684017E-05,1.05027044E-19,-7.56930467E-05
0.3,0.282274247,0.002,7.49237956E-05,-6.15877393E-05,3.43321798E-20,-7.49237956E-05
0.3,0.28361204,0.002,7.49526118E-05,-6.30856555E-05,-1.74962752E-20,-7.49526118E-05
0.3,0.284949833,0.002,7.61788847E-05,-6.54699853E-05,-1.37267854E-19,-7.61788847E-05
0.3,0.286287625,0.002,7.84638843E-05,-6.86275478E-05,-1.20098413E-19,-7.84638843E-05
0.3,0.287625418,0.002,8.19899455E-05,-7.26879391E-05,-1.11642391E-20,-8.19899455E-05
0.3,0.288963211,0.002,8.65633636E-05,-7.74903298E-05,9.20537717E-20,-8.65633636E-05
0.3,0.290301003,0.002,9.26182253E-05,-8.33497187E-05,-3.58229216E-20,-9.26182253E-05
0.3,0.291638796,0.002,0.000100198056,-9.02916359E-05,-2.01845991E-19,-0.000100198056
0.3,0.292976589,0.002,0.000109237053,-9.82592637E-05,-2.29281524E-19,-0.000109237053
0.3,0.294314381,0.002,0.000119681655,-0.000107204029,-1.13210052E-20,-0.000119681655
0.3,0.295652174,0.002,0.00013134148,-0.00011699884,2.77664836E-19,-0.00013134148
0.3,0.296989967,0.002,0.000144662252,-0.000127959549,3.55708774E-19,-0.000144662252
0.3,0.298327759,0.002,0.000159165265,-0.000139728609,5.0913511E-19,-0.000159165265
0.3,0.299665552,0.002,0.000174900072,-0.00015229414,9.03435052E-20,-0.000174900072
0.3,0.301003344,0.002,0.000191497019,-0.00016541821,-2.46624445E-20,-0.000191497019
0.3,0.302341137,0.002,0.000209059932,-0.000179154764,-2.00031242E-19,-0.000209059932
0.3,0.30367893,0.002,0.000227368557,-0.000193314266,-1.50850376E-20,-0.000227368557
0.3,0.305016722,0.002,0.000246218155,-0.000207708767,6.935865E-20,-0.000246218155
0.3,0.306354515,0.002,0.000265436769,-0.000222196093,2.4732127E-20,-0.000265436769
0.3,0.307692308,0.002,0.000284775334,-0.000236636158,-5.39758599E-20,-0.000284775334
0.3,0.3090301,0.002,0.000304008963,-0.000250812246,-2.39272275E-19,-0.000304008963
0.3,0.310367893,0.002,0.000322939498,-0.000264587793,-1.26688128E-19,-0.000322939498
0.3,0.311705686,0.002,0.00034128354,-0.000277765504,-3.11486762E-20,-0.00034128354
0.3,0.313043478,0.002,0.000358936804,-0.000290348981,-2.63158817E-19,-0.000358936804
0.3,0.314381271,0.002,0.000375186919,-0.000301805932,-3.5253667E-19,-0.000375186919
